Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
Lee Gwang Hyeok,21,https://cdn.sofifa.org/sm/18/players/221756.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,69,76,Pohang Steelers,https://cdn.sofifa.org/xs/18/teams/1474.png,1500000.0,6000.0,1776,89,67,71,90,69,55,66,64,69,64,63,7,8,10,12,14,70,30,92,55,53,29,42,66,70,65,56,30,90,79,33,56,55,42
J. Huth,23,https://cdn.sofifa.org/sm/18/players/229692.png,Germany,https://cdn.sofifa.org/flags/21.png,69,77,Sparta Rotterdam,https://cdn.sofifa.org/xs/18/teams/100646.png,1200000.0,10000.0,1205,54,37,50,44,24,41,17,22,22,15,16,70,65,74,66,72,10,25,74,30,14,12,24,12,66,33,25,11,55,32,14,63,42,15
Prazeracinho,33,https://cdn.sofifa.org/sm/18/players/230460.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,69,Santos Futebol Clube,https://cdn.sofifa.org/xs/18/teams/1053.png,650000.0,11000.0,1755,74,40,76,72,69,71,66,62,67,60,57,8,10,7,12,16,45,52,71,67,52,41,66,62,74,73,58,40,73,65,46,54,69,51
C. Quaner,26,https://cdn.sofifa.org/sm/18/players/199741.png,Germany,https://cdn.sofifa.org/flags/21.png,69,70,Huddersfield Town,https://cdn.sofifa.org/xs/18/teams/1939.png,1300000.0,28000.0,1641,79,63,61,54,63,59,63,43,67,38,66,9,14,9,11,13,66,21,44,54,59,19,55,67,66,64,68,23,85,75,27,79,56,60
A. Rosati,34,https://cdn.sofifa.org/sm/18/players/149309.png,Italy,https://cdn.sofifa.org/flags/27.png,69,69,Perugia,https://cdn.sofifa.org/xs/18/teams/199.png,425000.0,2000.0,1045,32,22,36,50,21,33,11,15,11,16,8,68,69,46,70,68,10,9,68,31,12,11,25,7,73,24,21,12,31,36,10,65,43,14
Anderson Lopes,23,https://cdn.sofifa.org/sm/18/players/229949.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,74,FC Seoul,https://cdn.sofifa.org/xs/18/teams/982.png,1400000.0,5000.0,1722,85,65,80,50,69,65,58,55,70,53,69,6,11,14,12,6,54,25,59,55,69,22,68,61,67,62,76,19,86,75,25,78,66,52
Pablo Marí,23,https://cdn.sofifa.org/sm/18/players/206654.png,Spain,https://cdn.sofifa.org/flags/45.png,69,75,NAC Breda,https://cdn.sofifa.org/xs/18/teams/1904.png,1200000.0,5000.0,1502,54,59,51,40,60,62,32,27,41,30,38,6,14,7,13,12,72,63,64,65,40,70,31,34,58,65,53,64,51,66,71,86,37,28
Y. Orozco,26,https://cdn.sofifa.org/sm/18/players/202559.png,Venezuela,https://cdn.sofifa.org/flags/61.png,69,70,Deportes Tolima,https://cdn.sofifa.org/xs/18/teams/111722.png,1200000.0,1000.0,1682,79,39,93,95,73,52,66,53,76,55,54,14,8,13,13,9,55,29,83,60,60,25,43,65,66,65,63,27,73,53,25,29,67,54
L. Gregory,28,https://cdn.sofifa.org/sm/18/players/223551.png,England,https://cdn.sofifa.org/flags/14.png,69,69,Millwall,https://cdn.sofifa.org/xs/18/teams/97.png,1100000.0,24000.0,1700,68,65,69,58,66,64,43,56,64,61,71,7,13,15,8,15,65,21,60,46,61,31,71,72,68,58,66,29,72,75,23,79,61,63
B. Garnica,21,https://cdn.sofifa.org/sm/18/players/231231.png,Mexico,https://cdn.sofifa.org/flags/83.png,69,77,Club Atlas,https://cdn.sofifa.org/xs/18/teams/101114.png,1600000.0,10000.0,1635,79,40,84,84,70,66,70,50,72,40,68,7,11,14,15,7,40,32,40,57,45,29,50,60,61,65,69,30,82,69,31,53,59,52
D. Arslanagic,24,https://cdn.sofifa.org/sm/18/players/204352.png,Belgium,https://cdn.sofifa.org/flags/7.png,69,73,Royal Antwerp FC,https://cdn.sofifa.org/xs/18/teams/230.png,1200000.0,7000.0,1439,46,70,45,49,61,63,28,19,30,16,24,10,13,14,13,6,71,66,68,63,26,68,34,22,64,64,63,67,46,64,68,79,35,27
J. Carranza,36,https://cdn.sofifa.org/sm/18/players/158784.png,Argentina,https://cdn.sofifa.org/flags/52.png,69,69,Bahía Blanca,https://cdn.sofifa.org/xs/18/teams/110398.png,140000.0,3000.0,1060,25,32,25,27,16,24,15,13,20,25,12,65,71,71,66,69,12,16,69,11,12,11,20,16,71,12,24,17,24,36,13,79,50,15
Ángel Martínez,26,https://cdn.sofifa.org/sm/18/players/197441.png,Spain,https://cdn.sofifa.org/flags/45.png,69,70,Real Zaragoza,https://cdn.sofifa.org/xs/18/teams/244.png,1000000.0,7000.0,1802,73,67,71,70,61,60,74,48,49,57,43,14,7,16,12,14,51,63,73,54,52,66,61,47,68,56,63,68,72,85,75,72,56,44
G. Åsen,26,https://cdn.sofifa.org/sm/18/players/197954.png,Norway,https://cdn.sofifa.org/flags/36.png,69,70,Tromsø IL,https://cdn.sofifa.org/xs/18/teams/418.png,1200000.0,4000.0,1849,68,57,71,69,68,69,68,65,67,68,64,7,12,15,7,13,63,63,58,63,68,52,64,69,66,68,71,33,61,78,43,68,71,71
F. Haugen,25,https://cdn.sofifa.org/sm/18/players/200770.png,Norway,https://cdn.sofifa.org/flags/36.png,69,74,SK Brann,https://cdn.sofifa.org/xs/18/teams/919.png,1400000.0,4000.0,1924,78,53,82,67,70,71,73,68,66,65,65,8,15,16,10,14,49,65,59,67,67,53,61,69,66,69,76,63,75,79,55,66,72,63
G. Carabajal,25,https://cdn.sofifa.org/sm/18/players/232514.png,Argentina,https://cdn.sofifa.org/flags/52.png,69,70,San Martín de San Juan,https://cdn.sofifa.org/xs/18/teams/111713.png,1200000.0,8000.0,1631,70,40,72,75,69,62,59,43,75,40,62,5,11,9,14,6,39,26,55,63,73,32,41,71,65,65,63,36,72,67,30,65,75,43
M. Schuhen,24,https://cdn.sofifa.org/sm/18/players/209987.png,Germany,https://cdn.sofifa.org/flags/21.png,69,75,SV Sandhausen,https://cdn.sofifa.org/xs/18/teams/110178.png,1100000.0,3000.0,1229,55,26,47,48,27,41,19,15,22,20,19,69,67,72,68,70,14,18,64,30,13,17,26,17,65,32,30,18,50,40,16,78,43,14
J. Pitroipa,31,https://cdn.sofifa.org/sm/18/players/159043.png,Burkina Faso,https://cdn.sofifa.org/flags/101.png,69,69,Royal Antwerp FC,https://cdn.sofifa.org/xs/18/teams/230.png,925000.0,9000.0,1679,79,40,78,78,71,67,61,66,74,57,64,15,8,12,12,7,52,32,77,58,57,12,62,67,64,64,65,22,79,51,23,46,68,58
B. Tashchy,23,https://cdn.sofifa.org/sm/18/players/205892.png,Ukraine,https://cdn.sofifa.org/flags/49.png,69,75,MSV Duisburg,https://cdn.sofifa.org/xs/18/teams/1825.png,1500000.0,5000.0,1701,69,59,55,44,72,62,55,65,67,47,68,7,15,9,15,10,67,35,54,60,60,32,55,68,62,67,62,38,68,68,42,82,61,63
J. Moya,24,https://cdn.sofifa.org/sm/18/players/232004.png,Colombia,https://cdn.sofifa.org/flags/56.png,69,73,Independiente Santa Fe,https://cdn.sofifa.org/xs/18/teams/101104.png,1200000.0,3000.0,1435,63,57,46,55,52,55,28,26,33,30,30,6,6,6,10,11,68,75,75,47,33,70,36,22,63,58,40,66,51,65,74,74,30,29
T. Schick,27,https://cdn.sofifa.org/sm/18/players/193860.png,Austria,https://cdn.sofifa.org/flags/4.png,69,69,BSC Young Boys,https://cdn.sofifa.org/xs/18/teams/900.png,1100000.0,14000.0,1841,70,63,73,72,69,70,73,69,68,59,68,15,13,9,16,16,55,49,46,65,59,50,58,65,63,68,73,54,74,72,46,69,59,63
M. Gersbeck,22,https://cdn.sofifa.org/sm/18/players/213573.png,Germany,https://cdn.sofifa.org/flags/21.png,69,77,VfL Osnabrück,https://cdn.sofifa.org/xs/18/teams/487.png,1200000.0,1000.0,1133,40,36,37,52,23,54,18,14,20,13,17,67,70,58,67,72,15,22,56,32,16,13,24,15,68,35,20,15,43,33,16,57,28,21
L. Kleinheisler,23,https://cdn.sofifa.org/sm/18/players/231493.png,Hungary,https://cdn.sofifa.org/flags/23.png,69,76,,https://cdn.sofifa.org/flags/23.png,0.0,0.0,1843,77,77,78,81,65,59,65,72,72,51,61,7,12,7,6,12,44,49,63,59,65,61,58,66,71,71,55,59,69,67,63,64,68,48
Carpio,33,https://cdn.sofifa.org/sm/18/players/171077.png,Spain,https://cdn.sofifa.org/flags/45.png,69,69,Cádiz C.F.,https://cdn.sofifa.org/xs/18/teams/1968.png,400000.0,5000.0,1815,74,85,80,70,60,64,65,55,53,50,42,6,10,6,10,11,57,69,84,63,39,67,47,52,68,56,65,74,76,74,71,76,47,53
N. Cherubin,30,https://cdn.sofifa.org/sm/18/players/183365.png,Italy,https://cdn.sofifa.org/flags/27.png,69,69,Ascoli,https://cdn.sofifa.org/xs/18/teams/1846.png,775000.0,14000.0,1344,46,74,52,47,46,68,28,20,42,15,18,11,10,9,7,5,73,70,70,52,18,69,18,20,68,48,25,69,46,68,69,77,38,16
C. Cáceda,25,https://cdn.sofifa.org/sm/18/players/234054.png,Peru,https://cdn.sofifa.org/flags/59.png,69,74,,https://cdn.sofifa.org/flags/59.png,0.0,0.0,961,33,29,31,48,17,28,10,11,11,12,8,69,69,65,71,72,12,6,67,21,9,5,18,5,54,23,15,11,26,32,12,56,25,8
F. Daprelà,26,https://cdn.sofifa.org/sm/18/players/186950.png,Switzerland,https://cdn.sofifa.org/flags/47.png,69,70,FC Lugano,https://cdn.sofifa.org/xs/18/teams/10032.png,1000000.0,5000.0,1820,72,63,74,62,71,70,66,53,69,42,47,5,11,7,11,6,61,61,78,61,61,65,48,61,65,66,58,66,78,84,64,79,59,46
J. Baffo,24,https://cdn.sofifa.org/sm/18/players/192070.png,Sweden,https://cdn.sofifa.org/flags/46.png,69,73,Eintracht Braunschweig,https://cdn.sofifa.org/xs/18/teams/110500.png,1200000.0,11000.0,1493,67,69,62,62,34,64,42,26,28,29,40,10,8,6,12,8,70,68,90,53,23,69,25,30,58,41,52,72,71,65,73,74,39,17
B. Başdaş,27,https://cdn.sofifa.org/sm/18/players/193350.png,Turkey,https://cdn.sofifa.org/flags/48.png,69,69,Alanyaspor,https://cdn.sofifa.org/xs/18/teams/113142.png,875000.0,8000.0,1486,59,75,45,41,55,52,28,36,42,38,30,13,16,11,12,9,71,65,69,44,32,67,43,26,65,59,50,65,62,61,70,73,35,19
Ewerton,24,https://cdn.sofifa.org/sm/18/players/207943.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,72,Portimonense SC,https://cdn.sofifa.org/xs/18/teams/10031.png,1100000.0,5000.0,1756,61,73,64,69,69,68,54,57,57,41,43,9,9,11,8,9,58,67,82,67,53,67,52,48,65,71,62,61,60,73,67,68,59,42
A. Al Faraj,28,https://cdn.sofifa.org/sm/18/players/209223.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,69,69,Al Nassr,https://cdn.sofifa.org/xs/18/teams/112139.png,850000.0,21000.0,1788,78,71,70,83,71,65,53,49,65,41,46,11,10,11,16,15,50,62,47,63,58,67,44,59,72,72,55,60,73,86,64,60,64,42
V. van Crooij,21,https://cdn.sofifa.org/sm/18/players/237895.png,Netherlands,https://cdn.sofifa.org/flags/34.png,69,77,VVV-Venlo,https://cdn.sofifa.org/xs/18/teams/100651.png,1600000.0,7000.0,1702,79,55,77,65,71,65,66,67,73,51,64,12,14,9,14,12,42,33,42,52,69,23,64,62,56,67,73,28,82,81,33,58,65,43
R. Windbichler,26,https://cdn.sofifa.org/sm/18/players/203848.png,Austria,https://cdn.sofifa.org/flags/4.png,69,71,Ulsan Hyundai Horang-i,https://cdn.sofifa.org/xs/18/teams/1473.png,1100000.0,5000.0,1626,66,72,57,62,63,62,35,35,41,16,37,9,16,7,11,11,73,71,78,62,21,71,56,48,67,65,35,67,68,73,71,77,64,21
F. Nájera,33,https://cdn.sofifa.org/sm/18/players/214600.png,Colombia,https://cdn.sofifa.org/flags/56.png,69,69,La Equidad,https://cdn.sofifa.org/xs/18/teams/112523.png,425000.0,4000.0,1462,31,75,45,45,45,70,40,25,35,50,45,6,10,12,12,15,77,65,52,55,24,72,45,30,71,53,59,65,47,47,67,80,35,27
R. Raldes,36,https://cdn.sofifa.org/sm/18/players/153160.png,Bolivia,https://cdn.sofifa.org/flags/53.png,69,69,,https://cdn.sofifa.org/flags/53.png,0.0,0.0,1566,47,74,59,58,57,64,25,32,41,51,36,16,8,11,12,13,72,65,58,33,47,71,77,26,66,56,74,70,46,53,70,75,48,19
Gedson Fernandes,18,https://cdn.sofifa.org/sm/18/players/234568.png,Portugal,https://cdn.sofifa.org/flags/38.png,69,86,SL Benfica,https://cdn.sofifa.org/xs/18/teams/234.png,2100000.0,4000.0,1951,72,74,82,76,75,75,67,68,74,69,54,9,15,7,9,5,59,67,69,63,55,62,60,70,73,68,72,64,76,74,67,67,66,63
Y. Wissa,20,https://cdn.sofifa.org/sm/18/players/234824.png,France,https://cdn.sofifa.org/flags/18.png,69,79,FC Lorient,https://cdn.sofifa.org/xs/18/teams/217.png,1700000.0,5000.0,1695,82,60,80,73,64,64,63,41,71,42,71,14,7,6,8,15,50,10,66,59,62,24,68,69,67,61,76,17,84,69,22,65,65,64
A. Saldívar,27,https://cdn.sofifa.org/sm/18/players/187208.png,Mexico,https://cdn.sofifa.org/flags/83.png,69,69,U.N.A.M.,https://cdn.sofifa.org/xs/18/teams/1881.png,700000.0,10000.0,1155,55,26,62,65,14,29,15,11,11,15,13,70,69,69,68,68,16,25,75,30,13,14,15,16,65,27,12,13,43,30,12,68,39,11
M. Đurić,27,https://cdn.sofifa.org/sm/18/players/192840.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,69,69,Bristol City,https://cdn.sofifa.org/xs/18/teams/1919.png,1100000.0,27000.0,1568,53,59,34,31,65,64,55,54,55,53,68,7,5,13,10,8,81,30,62,43,60,18,66,69,68,60,72,20,54,71,22,92,46,64
G. Maluleka,28,https://cdn.sofifa.org/sm/18/players/203593.png,South Africa,https://cdn.sofifa.org/flags/140.png,69,69,Kaizer Chiefs,https://cdn.sofifa.org/xs/18/teams/110929.png,1000000.0,1000.0,1921,78,51,66,77,71,62,71,68,71,71,70,10,11,10,16,8,67,60,61,70,66,53,65,64,61,77,70,62,75,72,56,64,63,66
L. Nangis,23,https://cdn.sofifa.org/sm/18/players/205641.png,France,https://cdn.sofifa.org/flags/18.png,69,74,Valenciennes FC,https://cdn.sofifa.org/xs/18/teams/110456.png,1400000.0,3000.0,1630,76,36,78,78,70,63,66,46,69,48,64,12,15,10,7,13,58,19,34,59,59,13,63,66,67,67,65,18,81,69,18,57,65,64
T. Jurić,25,https://cdn.sofifa.org/sm/18/players/213321.png,Australia,https://cdn.sofifa.org/flags/195.png,69,72,FC Luzern,https://cdn.sofifa.org/xs/18/teams/897.png,1300000.0,8000.0,1718,57,67,50,50,66,68,56,45,67,60,73,11,9,14,8,14,63,48,64,45,69,35,75,72,64,58,71,36,67,64,38,83,49,70
F. Scaglia,25,https://cdn.sofifa.org/sm/18/players/220489.png,Italy,https://cdn.sofifa.org/flags/27.png,69,71,Cittadella,https://cdn.sofifa.org/xs/18/teams/111993.png,1100000.0,2000.0,1456,57,61,41,55,48,58,31,24,60,30,26,14,14,6,7,12,68,64,74,48,27,70,29,30,58,58,36,77,60,61,75,75,38,22
G. Hubert,23,https://cdn.sofifa.org/sm/18/players/205386.png,Belgium,https://cdn.sofifa.org/flags/7.png,69,73,Club Brugge KV,https://cdn.sofifa.org/xs/18/teams/231.png,975000.0,8000.0,1079,42,31,33,37,25,38,19,13,13,8,9,72,68,66,63,70,20,18,57,26,9,18,16,11,67,29,19,14,43,30,16,68,37,12
B. Meling,22,https://cdn.sofifa.org/sm/18/players/219466.png,Norway,https://cdn.sofifa.org/flags/36.png,69,74,Rosenborg BK,https://cdn.sofifa.org/xs/18/teams/298.png,1200000.0,4000.0,1782,79,80,79,80,65,69,68,62,63,55,47,8,10,15,12,6,42,66,75,54,49,62,39,59,64,64,46,66,78,84,67,47,61,30
M. Scozzarella,29,https://cdn.sofifa.org/sm/18/players/173130.png,Italy,https://cdn.sofifa.org/flags/27.png,69,69,Parma,https://cdn.sofifa.org/xs/18/teams/50.png,1000000.0,4000.0,1929,85,72,90,80,71,68,76,73,68,71,58,7,9,8,12,10,49,65,60,68,69,51,70,65,65,71,54,46,85,75,49,58,72,67
M. Dijks,24,https://cdn.sofifa.org/sm/18/players/208459.png,Netherlands,https://cdn.sofifa.org/flags/34.png,69,72,Ajax,https://cdn.sofifa.org/xs/18/teams/245.png,1100000.0,6000.0,1721,74,78,48,38,65,63,57,64,66,42,30,11,9,12,13,13,54,68,32,69,36,72,44,59,67,66,61,68,76,80,70,88,52,39
M. Hassen,22,https://cdn.sofifa.org/sm/18/players/209483.png,France,https://cdn.sofifa.org/flags/18.png,69,76,La Berrichonne de Châteauroux,https://cdn.sofifa.org/xs/18/teams/212.png,1100000.0,11000.0,1105,48,20,63,51,24,29,20,10,13,14,15,75,63,64,68,72,16,16,69,23,14,12,21,12,62,24,18,12,48,30,16,45,31,16
K. Barbarouses,27,https://cdn.sofifa.org/sm/18/players/182091.png,New Zealand,https://cdn.sofifa.org/flags/198.png,69,69,Melbourne Victory,https://cdn.sofifa.org/xs/18/teams/111397.png,1100000.0,7000.0,1735,85,56,91,72,69,60,62,66,68,42,67,8,11,12,13,9,48,38,58,46,62,26,57,67,64,61,65,22,87,85,29,58,66,65
Mario Fernández,29,https://cdn.sofifa.org/sm/18/players/190283.png,Spain,https://cdn.sofifa.org/flags/45.png,69,70,Rayo Vallecano,https://cdn.sofifa.org/xs/18/teams/480.png,825000.0,6000.0,1122,46,24,57,54,24,22,11,13,15,18,15,70,67,68,70,72,17,27,70,30,14,12,15,12,58,20,17,20,51,32,13,61,18,11
E. Bergström,24,https://cdn.sofifa.org/sm/18/players/202060.png,Sweden,https://cdn.sofifa.org/flags/46.png,69,74,Grasshopper Club Zürich,https://cdn.sofifa.org/xs/18/teams/322.png,1200000.0,19000.0,1526,63,70,48,49,52,69,34,27,34,23,23,11,11,7,10,12,75,68,79,53,48,65,44,31,59,52,46,67,66,75,68,82,25,49
Mário Felgueiras,30,https://cdn.sofifa.org/sm/18/players/177996.png,Portugal,https://cdn.sofifa.org/flags/38.png,69,69,FC Paços de Ferreira,https://cdn.sofifa.org/xs/18/teams/1892.png,675000.0,5000.0,1182,42,38,47,55,15,45,15,11,13,18,14,64,69,66,70,67,13,22,72,40,12,17,16,14,72,45,23,17,37,38,13,67,46,14
P. Bråtveit,21,https://cdn.sofifa.org/sm/18/players/211021.png,Norway,https://cdn.sofifa.org/flags/36.png,69,76,FK Haugesund,https://cdn.sofifa.org/xs/18/teams/1463.png,1100000.0,2000.0,1123,45,19,39,59,15,23,15,13,15,18,20,71,64,64,68,69,15,23,59,27,15,16,15,20,68,24,21,13,46,38,17,45,50,17
Ricardo Lopes,26,https://cdn.sofifa.org/sm/18/players/228173.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,69,Jeonbuk Hyundai Motors,https://cdn.sofifa.org/xs/18/teams/1477.png,1100000.0,7000.0,1782,78,50,77,68,68,61,68,64,67,66,70,6,15,15,10,6,55,33,60,62,70,31,68,67,60,66,70,25,77,68,32,78,67,65
W. López,31,https://cdn.sofifa.org/sm/18/players/177741.png,Uruguay,https://cdn.sofifa.org/flags/60.png,69,69,La Spezia,https://cdn.sofifa.org/xs/18/teams/110741.png,700000.0,3000.0,1740,66,77,45,36,66,66,74,62,61,57,35,16,7,6,8,16,45,70,60,65,59,61,39,51,72,67,60,70,68,81,59,70,58,53
C. Nasuti,34,https://cdn.sofifa.org/sm/18/players/152910.png,Argentina,https://cdn.sofifa.org/flags/52.png,69,69,Lorca Deportiva CF,https://cdn.sofifa.org/xs/18/teams/2026.png,325000.0,5000.0,1563,31,75,43,60,48,58,48,49,42,60,28,9,11,7,16,6,75,68,72,60,42,70,48,46,64,56,64,65,31,46,68,75,42,38
C. N'Doye,31,https://cdn.sofifa.org/sm/18/players/219470.png,Senegal,https://cdn.sofifa.org/flags/136.png,69,69,Birmingham City,https://cdn.sofifa.org/xs/18/teams/88.png,900000.0,17000.0,1917,54,76,48,41,71,55,68,60,64,49,61,8,13,14,15,8,78,69,80,66,67,74,57,70,75,62,76,69,60,83,68,92,66,55
Nando,23,https://cdn.sofifa.org/sm/18/players/229966.png,Spain,https://cdn.sofifa.org/flags/45.png,69,77,Lorca Deportiva CF,https://cdn.sofifa.org/xs/18/teams/2026.png,1500000.0,12000.0,1702,75,52,74,74,69,62,69,65,74,58,64,8,14,11,14,6,38,30,60,65,67,28,57,65,61,68,64,35,78,59,37,49,60,54
E. Cobbaut,19,https://cdn.sofifa.org/sm/18/players/232526.png,Belgium,https://cdn.sofifa.org/flags/7.png,69,79,KV Mechelen,https://cdn.sofifa.org/xs/18/teams/110724.png,1400000.0,4000.0,1667,62,68,57,59,66,57,69,62,61,34,26,10,12,7,7,7,65,66,64,65,36,65,42,47,65,64,45,68,72,79,67,72,45,33
Diogo Dalot,18,https://cdn.sofifa.org/sm/18/players/234574.png,Portugal,https://cdn.sofifa.org/flags/38.png,69,85,FC Porto,https://cdn.sofifa.org/xs/18/teams/236.png,1900000.0,4000.0,1797,73,77,70,63,69,73,69,67,67,28,42,10,6,10,6,8,65,68,64,45,59,64,36,68,74,65,76,64,77,70,68,71,54,44
P. Małecki,28,https://cdn.sofifa.org/sm/18/players/174670.png,Poland,https://cdn.sofifa.org/flags/37.png,69,69,Wisła Kraków,https://cdn.sofifa.org/xs/18/teams/1873.png,1100000.0,6000.0,1891,78,73,79,83,64,74,67,67,67,58,66,14,14,13,10,14,46,43,70,57,67,43,67,70,64,66,72,46,78,87,41,76,66,65
B. Ogbeche,32,https://cdn.sofifa.org/sm/18/players/49486.png,Nigeria,https://cdn.sofifa.org/flags/133.png,69,69,Willem II,https://cdn.sofifa.org/xs/18/teams/1907.png,850000.0,8000.0,1692,57,76,61,70,64,68,48,64,61,61,75,9,7,15,9,10,57,39,76,64,57,24,68,75,66,48,78,19,66,55,23,77,46,67
M. Pintilii,32,https://cdn.sofifa.org/sm/18/players/212047.png,Romania,https://cdn.sofifa.org/flags/39.png,69,69,,https://cdn.sofifa.org/flags/39.png,0.0,0.0,1864,66,77,62,60,62,65,58,64,49,67,60,8,7,12,8,7,67,70,62,64,73,72,61,66,66,68,76,65,66,69,71,76,63,42
A. Corzo,28,https://cdn.sofifa.org/sm/18/players/196688.png,Peru,https://cdn.sofifa.org/flags/59.png,69,69,,https://cdn.sofifa.org/flags/59.png,0.0,0.0,1676,72,53,72,73,65,40,69,46,63,50,18,15,12,8,13,6,61,66,43,53,49,68,43,59,63,59,59,75,68,67,74,55,48,31
K. Arkivuo,34,https://cdn.sofifa.org/sm/18/players/151376.png,Finland,https://cdn.sofifa.org/flags/17.png,69,69,BK Häcken,https://cdn.sofifa.org/xs/18/teams/711.png,300000.0,3000.0,1859,74,84,80,82,66,73,70,65,67,58,40,3,3,3,3,3,41,67,87,62,62,69,55,49,70,61,70,67,68,83,66,68,58,55
A. Barkok,19,https://cdn.sofifa.org/sm/18/players/236624.png,Germany,https://cdn.sofifa.org/flags/21.png,69,84,Eintracht Frankfurt,https://cdn.sofifa.org/xs/18/teams/1824.png,2300000.0,9000.0,1783,71,56,74,67,81,52,56,63,80,60,63,7,12,13,8,13,61,49,55,59,59,52,53,62,58,65,63,55,70,63,54,67,64,50
M. Watkins,26,https://cdn.sofifa.org/sm/18/players/189776.png,Wales,https://cdn.sofifa.org/flags/50.png,69,69,Norwich City,https://cdn.sofifa.org/xs/18/teams/1792.png,1100000.0,21000.0,1667,84,70,80,84,66,51,61,56,69,44,66,6,5,6,8,5,64,12,79,60,61,16,33,64,64,67,63,18,82,74,16,61,68,55
A. Camargo,28,https://cdn.sofifa.org/sm/18/players/229201.png,Argentina,https://cdn.sofifa.org/flags/52.png,69,69,CD Universidad de Concepción,https://cdn.sofifa.org/xs/18/teams/112534.png,1000000.0,4000.0,1777,40,74,67,68,72,64,63,45,59,51,35,6,13,11,14,7,61,68,75,74,57,74,57,54,65,79,51,49,71,81,72,75,56,33
Léo Jabá,18,https://cdn.sofifa.org/sm/18/players/239953.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,84,Terek Grozny,https://cdn.sofifa.org/xs/18/teams/110109.png,2200000.0,13000.0,1608,78,31,57,60,70,59,58,54,74,37,69,12,7,11,14,12,54,14,72,47,66,19,72,73,62,58,65,18,84,58,20,66,58,58
H. Singh,26,https://cdn.sofifa.org/sm/18/players/179537.png,Norway,https://cdn.sofifa.org/flags/36.png,69,70,Sarpsborg 08 FF,https://cdn.sofifa.org/xs/18/teams/112199.png,1200000.0,3000.0,1854,58,46,68,71,69,71,61,71,66,60,55,10,9,6,8,11,63,62,68,69,71,49,71,67,68,72,77,53,52,77,55,76,68,67
S. Kulovits,34,https://cdn.sofifa.org/sm/18/players/53073.png,Austria,https://cdn.sofifa.org/flags/4.png,69,69,SV Sandhausen,https://cdn.sofifa.org/xs/18/teams/110178.png,325000.0,4000.0,1795,63,87,76,76,63,64,48,55,59,40,51,13,16,8,12,16,58,68,77,53,65,73,47,37,74,62,61,73,52,84,69,65,51,43
B. Behrendt,25,https://cdn.sofifa.org/sm/18/players/207954.png,Germany,https://cdn.sofifa.org/flags/21.png,69,71,DSC Arminia Bielefeld,https://cdn.sofifa.org/xs/18/teams/159.png,1100000.0,5000.0,1699,64,77,59,60,32,62,43,36,33,42,34,9,7,15,14,15,70,61,70,71,71,66,54,42,66,66,84,75,66,68,68,78,49,34
D. Ortiz,24,https://cdn.sofifa.org/sm/18/players/220754.png,Paraguay,https://cdn.sofifa.org/flags/58.png,69,74,Banfield,https://cdn.sofifa.org/xs/18/teams/110404.png,1200000.0,7000.0,1408,55,71,46,57,60,58,27,25,29,27,27,16,9,8,12,10,65,64,75,30,23,72,38,23,70,36,37,67,55,66,73,75,31,29
P. Mahlambi,19,https://cdn.sofifa.org/sm/18/players/241234.png,South Africa,https://cdn.sofifa.org/flags/140.png,69,85,,https://cdn.sofifa.org/flags/140.png,0.0,0.0,1689,88,48,62,77,72,51,65,56,74,52,68,11,6,13,11,8,43,33,54,54,61,38,62,66,53,69,55,37,83,61,41,49,68,51
G. Kagelmacher,29,https://cdn.sofifa.org/sm/18/players/192594.png,Uruguay,https://cdn.sofifa.org/flags/60.png,69,69,KV Kortrijk,https://cdn.sofifa.org/xs/18/teams/100081.png,825000.0,9000.0,1832,71,71,67,63,67,70,66,66,58,52,26,8,14,15,14,7,62,69,70,63,58,68,68,55,63,64,60,69,72,73,70,71,56,56
M. Pospíšil,26,https://cdn.sofifa.org/sm/18/players/203603.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,69,70,Jagiellonia Białystok,https://cdn.sofifa.org/xs/18/teams/110745.png,1200000.0,7000.0,1818,71,58,80,77,73,70,59,64,75,67,50,11,9,11,8,13,56,51,78,67,56,60,63,63,68,68,53,55,59,65,54,52,74,50
